,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
110,110,0.10800000000022791,270,-103.4,0.800737343484087,0.10517431795597076,,"[11, 3, 4, 35]"
111,111,0.11200000000023635,280,-117.5,0.7991358687971188,0.06834284961223602,,"[10, 6, 4, 40]"
112,112,0.11200000000023635,280,-114.0,0.7975375970595246,0.09092646837234497,,"[6, 8, 4, 21]"
113,113,0.11200000000023635,280,-116.4,0.7959425218654056,0.05979837477207184,,"[5, 4, 4, 38]"
114,114,0.10800000000022791,270,-114.3,0.7943506368216747,0.08559218049049377,,"[11, 6, 4, 39]"
115,115,0.10800000000022791,270,-88.4,0.7927619355480314,0.06088957190513611,,"[18, 4, 4, 28]"
116,116,0.12400000000026168,310,-121.0,0.7911764116769353,0.0858910083770752,,"[4, 8, 4, 40]"
117,117,0.12000000000025324,300,-122.7,0.7895940588535815,0.08031497895717621,,"[5, 2, 3, 14]"
118,118,0.1160000000002448,290,-122.5,0.7880148707358743,0.05825091898441315,,"[7, 6, 4, 34]"
119,119,0.10800000000022791,270,-101.4,0.7864388409944025,0.07326382398605347,,"[9, 7, 4, 34]"
120,120,0.10800000000022791,270,-106.1,0.7848659633124138,0.0676167756319046,,"[10, 4, 4, 38]"
121,121,0.12000000000025324,300,-121.0,0.783296231385789,0.08610579371452332,,"[8, 6, 4, 18]"
122,122,0.10800000000022791,270,-111.69999999999999,0.7817296389230174,0.09286649525165558,,"[7, 5, 4, 20]"
123,123,0.12000000000025324,300,-152.4,0.7801661796451713,0.08793085068464279,,"[4, 6, 4, 38]"
124,124,0.10800000000022791,270,-106.5,0.778605847285881,0.05896110460162163,,"[10, 3, 4, 34]"
125,125,0.1160000000002448,290,-141.6,0.7770486355913092,0.08395305275917053,,"[6, 3, 4, 27]"
126,126,0.1160000000002448,290,-110.0,0.7754945383201266,0.08040352910757065,,"[10, 7, 4, 35]"
127,127,0.11200000000023635,280,-112.8,0.7739435492434863,0.0982007086277008,,"[9, 4, 4, 35]"
128,128,0.11200000000023635,280,-103.7,0.7723956621449993,0.07652601599693298,,"[10, 4, 4, 22]"
129,129,0.1160000000002448,290,-110.69999999999999,0.7708508708207094,0.0704394206404686,,"[8, 5, 4, 33]"
130,130,0.10800000000022791,270,-106.8,0.769309169079068,0.0903702899813652,,"[7, 5, 4, 34]"
131,131,0.1160000000002448,290,-130.9,0.7677705507409098,0.08194482326507568,,"[1, 5, 4, 21]"
132,132,0.11200000000023635,280,-107.1,0.766235009639428,0.0602983683347702,,"[14, 5, 4, 27]"
133,133,0.11200000000023635,280,-117.8,0.7647025396201492,0.07062477618455887,,"[4, 6, 4, 23]"
134,134,0.1160000000002448,290,-138.9,0.763173134540909,0.07642032951116562,,"[2, 5, 4, 39]"
135,135,0.12000000000025324,300,-136.6,0.7616467882718272,0.07731743156909943,,"[4, 6, 4, 37]"
136,136,0.12400000000026168,310,-104.7,0.7601234946952835,0.07160564512014389,,"[9, 3, 4, 39]"
137,137,0.11200000000023635,280,-110.80000000000001,0.7586032477058929,0.07196289300918579,,"[5, 7, 4, 40]"
